id;iban;titulaire_compte;verifier
1;LB45002672639794F43R09326413;Practical Agent bandwidth;false
2;CY1375580235078P838SU9356446;Steel Provence-Alpes-Côte Account;true
3;LT189300553001770248;white Music;true
4;CR9805900997043564759;Multi-channelled;true
5;KZ5309675546KR635961;Cambridgeshire reboot;true
6;AL62040077143Z5856877K43R720;Refined b Cambridgeshire;false
7;MC913004402186153528064E244;Oberkampf Keyboard;false
8;FR34764141700258139LF980S33;Loan;true
9;AT774949588721834028;Haute-Normandie;false
10;IT66A0309005995301V461C30D0;Chips;true
