id;id_user;code_association;matricule;nom;prenom;telephone;email;date_naissance;lieu_naissance;date_inscription;profession;sexe;photo_path;date_integration;is_admin;is_donateur;is_benevole;type_personne
1;36616;76127;Auvergne Platinum;Money Saint-Denis;Industrial Toys front-end;0217036946;Acacie27@gmail.com;2023-06-08;96192;2023-06-08T03:16:20;Account;FEMININ;Dominique;2023-06-07T15:56:56;false;true;false;NON_ADHERENT
2;46194;85678;reintermediate partnerships 24/7;silver whiteboard;Bourgogne;0586349403;Madeleine30@hotmail.fr;2023-06-07;2111;2023-06-08T05:00:27;Computers repurpose;FEMININ;Designer local reboot;2023-06-08T01:29:05;true;false;true;ADHERENT
3;61537;22767;Vaneau Outdoors invoice;1080p Grocery pixel;support e-tailers up;+33 756632195;Arthaud.Robin@gmail.com;2023-06-08;46695;2023-06-08T14:08:40;a Basse-Normandie back;MASCULIN;Soap Dauphine Steel;2023-06-07T20:50:10;true;false;false;ADHERENT
4;69770;77133;c reinvent Frozen;Technicien Operative;Self-enabling;+33 207005479;Andol_Morin97@gmail.com;2023-06-07;97353;2023-06-07T23:15:12;e-business;FEMININ;open-source deliver;2023-06-08T09:06:28;false;true;false;ANCIEN_ADHERENT
5;76036;34614;deposit;b;wireless;+33 473648211;Abondance65@yahoo.fr;2023-06-07;17938;2023-06-07T23:26:06;payment;MASCULIN;deposit Cheese;2023-06-08T11:32:03;false;false;false;ADHERENT
6;67942;32526;engineer Shoes Berkshire;b;Kwanza recontextualize;0511270505;Innocent45@yahoo.fr;2023-06-08;29617;2023-06-08T14:17:53;Wooden dynamic Wooden;FEMININ;bus;2023-06-08T13:19:02;false;true;false;ADHERENT
7;88771;67001;Centre Gloves SQL;Keyboard redundant Account;solid drive;0277591650;Tanguy67@yahoo.fr;2023-06-07;45515;2023-06-07T23:58:04;withdrawal;MASCULIN;Montmorency plum Pants;2023-06-08T05:46:32;false;true;false;NON_ADHERENT
8;78676;41501;Soft;Ball Intelligent;cyan fuchsia;0693424529;Isabelle_Lambert19@yahoo.fr;2023-06-08;13747;2023-06-07T16:04:06;scale Plastic;MASCULIN;b Avon;2023-06-07T21:12:43;false;false;false;ADHERENT
9;33283;39464;bluetooth deposit B2B;Seamless;bypassing;+33 259786299;Abigal82@yahoo.fr;2023-06-07;46868;2023-06-07T17:59:21;a bypass;FEMININ;Steel circuit;2023-06-07T20:06:24;true;true;true;NON_ADHERENT
10;33628;64343;function;Bhoutan Home;Cambridgeshire Computer;+33 600060912;Marc_Vincent26@gmail.com;2023-06-08;58637;2023-06-08T07:10:03;capacitor Movies;FEMININ;emulation a;2023-06-08T13:46:12;false;false;false;ADHERENT
